Twitter_id,Twitter_name
'30309979',"'106andpark',"
'18342955',"'abc11_wtvd',"
'16688247',"'abc30',"
'16374678',"'abc7',"
'119606058',"'aquiyahorashow',"
'21890696',"'arenacross',"
'537397368',"'beingmaryjane',"
'193455897',"'belleza_moda',"
'16560657',"'bet',"
'35757323',"'betawards',"
'94403210',"'betgospel',"
'226299107',"'betnews',"
'325178297',"'betrealhusbands',"
'9695312',"'billboard',"
'32448740',"'brueggers',"
'2174603118',"'buchanansusa',"
'1426645165',"'bustle',"
'240389001',"'canalaetv',"
'275667367',"'canalhistory',"
'932724440',"'cansgetucooking',"
'21308602',"'cartoonnetwork',"
'2361583434',"'cngames',"
'759251',"'cnn',"
'16184358',"'cnnmoney',"
'73200694',"'coach',"
'23827692',"'comedycentral',"
'634784951',"'dasaniwater',"
'5120691',"'davos',"
'94422249',"'despiertaameric',"
'14946736',"'directv',"
'539495586',"'disneylive',"
'23684526',"'disneyonice',"
'39797433',"'elgordoylaflaca',"
'27677483',"'essencemag',"
'16312576',"'ew',"
'917232589',"'feldent',"
'1408873766',"'formas_minerva',"
'25053299',"'fortunemagazine',"
'436873679',"'fusionnews',"
'436171805',"'fusionpop',"
'216392518',"'galavision',"
'25453312',"'hallmarkchannel',"
'241176008',"'hallmarkmovie',"
'119159738',"'harperchildrens',"
'8312862',"'harperteen',"
'75025395',"'hiphopawards',"
'113771891',"'historyla',"
'26282046',"'hlntv',"
'16407145',"'hmusa',"
'14934818',"'instyle',"
'1408928329',"'keepermate',"
'2528242532',"'labanda',"
'192981351',"'landroverusa',"
'212350063',"'lgus',"
'707830526',"'lincolnmotorco',"
'993657672','marvelontour'
'2411523559',"'milifetime',"
'107146095',"'mls',"
'205789121',"'money',"
'255146210',"'monsterjam',"
'459292162',"'mrstspierogies',"
'2367911',"'mtv',"
'40076725',"'mtvnews',"
'1373313666',"'nbacom',"
'22178780',"'nbaontnt',"
'25319414',"'nbatv',"
'19426551',"'nfl',"
'98770503',"'novelasyseries',"
'31132412',"'nuestrabelleza',"
'115211060',"'officedepotmex',"
'60952317',"'originalwd40',"
'26757599',"'peopleenespanol',"
'25589776',"'peoplemag',"
'14063612',"'pga_com',"
'438388302',"'pompeianoils',"
'31133471',"'premiolonuestro',"
'31133017',"'premiosjuventud',"
'119573510',"'primerimpacto',"
'163509933',"'repdeportiva',"
'223525053',"'ringlingbros',"
'94379906',"'sabadogigante',"
'191950309',"'salypimientahd',"
'28370738',"'sinow',"
'40048432',"'supercrosslive',"
'5988062',"'theeconomist',"
'202358441',"'thegamebet',"
'121817564',"'thisisfusion',"
'90774609',"'tiffanyandco',"
'14293310',"'time',"
'18639872',"'troweprice',"
'226824885',"'udcontacto',"
'76785359',"'uforiamusica',"
'97276235',"'unimas',"
'35785401',"'uninoticias',"
'501287151',"'unitlnovelas',"
'40924038',"'univision',"
'104627279',"'univisionent',"
'89225092',"'univisionsports',"
'15513910',"'valvoline',"
'174287863',"'vaporti',"
'2207709775',"'wcth_tv',"
'14996251',"'xfinity_tv',"
